X,Y,VX,VY
-3.072461711404425E+07,-1.487221714832543E+08,2.870018886809677E+01,-6.136273377385113E+00
-2.824074086223022E+07,-1.492311788769780E+08,2.879549726579053E+01,-5.646109698243524E+00
-2.574900444350710E+07,-1.496977886584208E+08,2.888215117317880E+01,-5.154883163454968E+00
-2.325015189987363E+07,-1.501219179109939E+08,2.896023702804758E+01,-4.662795523348822E+00
-2.074491972355585E+07,-1.505035000566926E+08,2.902984229971753E+01,-4.170024384427758E+00
-1.823403692755019E+07,-1.508424830629262E+08,2.909105247421638E+01,-3.676729871242589E+00
-1.571822521852949E+07,-1.511388281725790E+08,2.914395147812774E+01,-3.183059851106264E+00
-1.319819903425781E+07,-1.513925089860717E+08,2.918862415810086E+01,-2.689152753593827E+00
-1.067466532730051E+07,-1.516035106679572E+08,2.922515945305321E+01,-2.195137607180669E+00
-8.148323091920436E+06,-1.517718290358075E+08,2.925365294944037E+01,-1.701131309881552E+00
-5.619862744151250E+06,-1.518974693065353E+08,2.927420750368977E+01,-1.207233534192714E+00
-3.089965578452515E+06,-1.519804443318411E+08,2.928693064524227E+01,-7.135202109901678E-01
-5.593036252318739E+05,-1.520207722670742E+08,2.929192778320042E+01,-2.200372777180082E-01
1.971459714736953E+06,-1.520184737961338E+08,2.928929110487368E+01,2.732029035700624E-01
4.501667933742528E+06,-1.519735692574850E+08,2.927908553892879E+01,7.662198529100376E-01
